name,type,provider,rentalObjectTypes,position.lat,position.lng,rentalObjectCount.bike,rentalObjectCount.cargopedelec
Eimsbütteler Straße / Waterloostraße,area,stadtrad-hamburg,['bike'],53.5662,9.9534,3,0
Schulterblatt / Eifflerstraße,area,stadtrad-hamburg,['bike'],53.562709,9.96099,7,0
Sandweg / Sophienallee,area,stadtrad-hamburg,['bike'],53.569769,9.94977,0,0
U Christuskirche / Fruchtallee,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5695,9.96309,3,0
U Emilienstraße / Fruchtallee,area,stadtrad-hamburg,['bike'],53.57169,9.953138,0,0
S Holstenstraße / Düppelstraße,area,stadtrad-hamburg,['bike'],53.563037,9.948345,0,0
Osterstraße / Bismarckstraße,area,stadtrad-hamburg,['bike'],53.573183,9.962395,5,0
S+U Sternschanze / Dänenweg,area,stadtrad-hamburg,['bike'],53.564227,9.96925,3,0
U Schlump / Gustav-Falke-Straße,area,stadtrad-hamburg,['bike'],53.567991,9.969601,0,0
Holstenstraße / Max-Brauer-Allee,area,stadtrad-hamburg,['bike'],53.55865,9.94873,1,0
Neuer Pferdemarkt / Beim Grünen Jäger,area,stadtrad-hamburg,['bike'],53.558869,9.963824,9,0
U Osterstraße / Heußweg,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5759831,9.9520709,6,0
Mariannenruhplatz / Eva-Rühmkorf-Straße,area,stadtrad-hamburg,['bike'],53.56153,9.9393,3,0
Holstenstraße / Thadenstraße,area,stadtrad-hamburg,['bike'],53.555827,9.950708,0,0
Lappenbergsallee / Bei der Apostelkirche,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.575573,9.944487,1,0
Heußweg / Wiesenstraße,area,stadtrad-hamburg,['bike'],53.577796,9.953073,6,0
Goebenstraße / Eppendorfer Weg,area,stadtrad-hamburg,['bike'],53.577579,9.963063,6,0
U Feldstraße / Marktstraße,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.557414,9.969178,0,1
Paulinenplatz / Wohlwillstraße,area,stadtrad-hamburg,['bike'],53.5542,9.96246,14,0
Felicitas-Kukuck-Straße / Lille Torv,area,stadtrad-hamburg,['bike'],53.55941,9.93758,2,0
Chemnitzstraße / Max-Brauer-Allee,area,stadtrad-hamburg,['bike'],53.5553,9.94286,1,0
Bogenstraße / Grindelallee,area,stadtrad-hamburg,['bike'],53.5712,9.977694,0,0
U Messehallen / Marktstraße,area,stadtrad-hamburg,['bike'],53.558518,9.975346,2,0
Methfesselstraße / Luruper Weg,area,stadtrad-hamburg,['bike'],53.58006,9.946786,2,0
Allende-Platz / Grindelhof,area,stadtrad-hamburg,['bike'],53.56793,9.9823,1,0
Grindelberg / Bezirksamt Eimsbüttel,area,stadtrad-hamburg,['bike'],53.575408,9.977824,1,0
Troplowitzstraße / Beiersdorf  / NXP,area,stadtrad-hamburg,['bike'],53.582793,9.957594,0,0
Bruno-Tesch-Platz / Jessenstraße,area,stadtrad-hamburg,['bike'],53.5512,9.94576,2,0
U Hoheluftbrücke / Kaiser-Friedrich-Ufer,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.578054,9.976014,6,0
St. Petersburger Straße / Bei den Kirchhöfen,area,stadtrad-hamburg,['bike'],53.559762,9.981839,0,0
S Reeperbahn / Königstraße,area,stadtrad-hamburg,['bike'],53.549501,9.954934,6,0
Sievekingplatz / Gorch-Fock-Wall,area,stadtrad-hamburg,['bike'],53.556061,9.979697,1,0
Langenfelder Damm / Müggenkampstraße,area,stadtrad-hamburg,['bike'],53.580757,9.938418,1,0
U St. Pauli / Millerntorplatz,area,stadtrad-hamburg,['bike'],53.551,9.97033,2,0
Eppendorfer Weg / Hoheluftchaussee,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.581754,9.971242,6,1
Universität / Schlüterstraße,area,stadtrad-hamburg,['bike'],53.566972,9.986076,0,0
Bahnhof Altona Ost/Max-Brauer-Allee,area,stadtrad-hamburg,['bike'],53.552121,9.936005,4,0
Enckeplatz / Hütten,area,stadtrad-hamburg,['bike'],53.5524,9.97695,1,0
Innocentiapark / Oberstraße,area,stadtrad-hamburg,['bike'],53.577248,9.98211,4,0
Universität / Moorweidenstraße,area,stadtrad-hamburg,['bike'],53.563755,9.987659,0,0
Bahrenfelder Straße / Völckersstraße,area,stadtrad-hamburg,['bike'],53.556897,9.927945,1,0
S Langenfelde / Försterweg,area,stadtrad-hamburg,['bike'],53.57965,9.93238,1,0
Bahnhof Altona / Busbahnhof,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5518,9.93387,0,0
U Gänsemarkt / Caffamacherreihe,area,stadtrad-hamburg,['bike'],53.55609,9.98434,0,0
Bernhard-Nocht-Straße / Zirkusweg,area,stadtrad-hamburg,['bike'],53.54732,9.965669,1,0
U Hallerstraße / Rothenbaumchaussee,area,stadtrad-hamburg,['bike'],53.572081,9.988801,5,0
Fischmarkt / Breite Straße,area,stadtrad-hamburg,['bike'],53.5462,9.95088,6,0
Große Rainstraße/Ottenser Hauptstraße,area,stadtrad-hamburg,['bike'],53.552339,9.930344,1,0
S Königstraße / Struenseestraße,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5471,9.94241,0,1
