name,type,provider,rentalObjectTypes,position.lat,position.lng,rentalObjectCount.bike,rentalObjectCount.cargopedelec
Holstenstraße / Thadenstraße,area,stadtrad-hamburg,['bike'],53.555827,9.950708,0,0
Bruno-Tesch-Platz / Jessenstraße,area,stadtrad-hamburg,['bike'],53.5512,9.94576,4,0
Holstenstraße / Max-Brauer-Allee,area,stadtrad-hamburg,['bike'],53.55865,9.94873,7,0
Chemnitzstraße / Max-Brauer-Allee,area,stadtrad-hamburg,['bike'],53.5553,9.94286,0,0
S Reeperbahn / Königstraße,area,stadtrad-hamburg,['bike'],53.549501,9.954934,4,0
Paulinenplatz / Wohlwillstraße,area,stadtrad-hamburg,['bike'],53.5542,9.96246,2,0
Fischmarkt / Breite Straße,area,stadtrad-hamburg,['bike'],53.5462,9.95088,6,0
S Königstraße / Struenseestraße,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5471,9.94241,1,0
Bahnhof Altona Ost/Max-Brauer-Allee,area,stadtrad-hamburg,['bike'],53.552121,9.936005,0,0
S Holstenstraße / Düppelstraße,area,stadtrad-hamburg,['bike'],53.563037,9.948345,5,0
Neuer Pferdemarkt / Beim Grünen Jäger,area,stadtrad-hamburg,['bike'],53.558869,9.963824,2,0
Felicitas-Kukuck-Straße / Lille Torv,area,stadtrad-hamburg,['bike'],53.55941,9.93758,0,0
Mariannenruhplatz / Eva-Rühmkorf-Straße,area,stadtrad-hamburg,['bike'],53.56153,9.9393,0,0
Bahnhof Altona / Busbahnhof,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5518,9.93387,2,0
Schulterblatt / Eifflerstraße,area,stadtrad-hamburg,['bike'],53.562709,9.96099,0,0
Bernhard-Nocht-Straße / Zirkusweg,area,stadtrad-hamburg,['bike'],53.54732,9.965669,3,0
Van-der-Smissen-Straße / Große Elbstraße,area,stadtrad-hamburg,['bike'],53.543906,9.94246,11,0
Ottenser Marktplatz / Platz der Republik,area,stadtrad-hamburg,['bike'],53.547905,9.934844,1,0
U Feldstraße / Marktstraße,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.557414,9.969178,2,0
U St. Pauli / Millerntorplatz,area,stadtrad-hamburg,['bike'],53.551,9.97033,2,0
Große Rainstraße/Ottenser Hauptstraße,area,stadtrad-hamburg,['bike'],53.552339,9.930344,3,0
Eimsbütteler Straße / Waterloostraße,area,stadtrad-hamburg,['bike'],53.5662,9.9534,0,0
Bahrenfelder Straße / Völckersstraße,area,stadtrad-hamburg,['bike'],53.556897,9.927945,2,0
S+U Sternschanze / Dänenweg,area,stadtrad-hamburg,['bike'],53.564227,9.96925,7,0
Eulenstraße / Große Brunnenstraße,area,stadtrad-hamburg,['bike'],53.550816,9.925653,2,0
U Messehallen / Marktstraße,area,stadtrad-hamburg,['bike'],53.558518,9.975346,4,0
Enckeplatz / Hütten,area,stadtrad-hamburg,['bike'],53.5524,9.97695,0,0
Sandweg / Sophienallee,area,stadtrad-hamburg,['bike'],53.569769,9.94977,4,1
S+U Landungsbrücken / Johannisbollwerk,area,stadtrad-hamburg,['bike'],53.5452501,9.9736853,5,0
U Christuskirche / Fruchtallee,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5695,9.96309,2,0
Fischersallee / Bleickenallee,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.550801841,9.922218834471646,2,0
Sievekingplatz / Gorch-Fock-Wall,area,stadtrad-hamburg,['bike'],53.556061,9.979697,0,0
U Emilienstraße / Fruchtallee,area,stadtrad-hamburg,['bike'],53.57169,9.953138,6,0
Großneumarkt / Thielbek,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.550977,9.980459,1,0
U Schlump / Gustav-Falke-Straße,area,stadtrad-hamburg,['bike'],53.567991,9.969601,0,0
Michaeliskirche / Krayenkamp,area,stadtrad-hamburg,['bike'],53.547975,9.97942,7,0
Hohenzollernring / Friedensallee,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.55671,9.918508,4,0
St. Petersburger Straße / Bei den Kirchhöfen,area,stadtrad-hamburg,['bike'],53.559762,9.981839,1,0
U Gänsemarkt / Caffamacherreihe,area,stadtrad-hamburg,['bike'],53.55609,9.98434,1,0
U Baumwall / Elbphilharmonie,area,stadtrad-hamburg,['bike'],53.544279,9.980896,8,0
Osterstraße / Bismarckstraße,area,stadtrad-hamburg,['bike'],53.573183,9.962395,1,0
Axel-Springer-Platz/Wexstraße,area,stadtrad-hamburg,['bike'],53.55216,9.98614,2,0
S Stadthausbrücke / Neuer Wall,area,stadtrad-hamburg,['bike'],53.549672,9.986594,4,0
Lappenbergsallee / Bei der Apostelkirche,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.575573,9.944487,11,0
U Osterstraße / Heußweg,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5759831,9.9520709,3,0
U Rödingsmarkt / Großer Burstah,area,stadtrad-hamburg,['bike'],53.54872,9.98728,4,0
Bleickenallee / Kinderkrankenhaus Altona,area,stadtrad-hamburg,['bike'],53.5512881,9.9129134,0,0
Allende-Platz / Grindelhof,area,stadtrad-hamburg,['bike'],53.56793,9.9823,5,0
Neumühlen / Övelgönne,area,stadtrad-hamburg,['bike'],53.544302,9.914731,2,0
U Hudtwalckerstraße / Bebelallee,area,stadtrad-hamburg,['bike'],53.5943,9.99575,20,0
U Lattenkamp / Bebelallee,area,stadtrad-hamburg,['bike'],53.599203,9.994017,7,0
Planetarium / Hindenburgstraße,area,stadtrad-hamburg,['bike'],53.59595,10.01365,6,0
U Kellinghusenstraße / Loogeplatz,area,stadtrad-hamburg,['bike'],53.588516,9.991125,2,0
Kümmellstraße / Robert-Koch-Straße,area,stadtrad-hamburg,['bike'],53.590237,9.98673,0,0
Borgweg / Stadtpark,area,stadtrad-hamburg,['bike'],53.592022,10.015021,10,0
Goldbekplatz / Semperstraße,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5838,10.01,1,0
U Alsterdorf / Hindenburgstraße,area,stadtrad-hamburg,['bike'],53.606177,10.012225,1,0
Borsteler Chaussee / Alphapark,area,stadtrad-hamburg,['bike'],53.60524,9.98267,6,0
Überseering / New-York-Ring,area,stadtrad-hamburg,['bike'],53.60373,10.0197,7,0
Leinpfad/Fernsicht,area,stadtrad-hamburg,['bike'],53.580391,9.999404,7,0
U Klosterstern / Eppendorfer Baum,area,stadtrad-hamburg,['bike'],53.5820093,9.987613,6,0
U Eppendorfer Baum / Isestraße,area,stadtrad-hamburg,['bike'],53.5832,9.98441,4,0
Martinistraße / Haupteingang Klinikum,area,stadtrad-hamburg,['bike'],53.588918,9.975715,1,0
Gertigstraße / Forßmannstraße,area,stadtrad-hamburg,['bike'],53.58191,10.01479,1,0
Süderfeldstraße / Universitätsklinikum Eppendorf,area,stadtrad-hamburg,['bike'],53.594,9.973,6,0
Überseering / Mexikoring,area,stadtrad-hamburg,['bike'],53.601619,10.024745,2,0
Jarrestraße / Rambatzweg,area,stadtrad-hamburg,['bike'],53.584,10.0211,0,0
Löwenstraße / Eppendorfer Weg,area,stadtrad-hamburg,['bike'],53.583795,9.977916,1,0
Borsteler Chaussee / Köppenstraße,area,stadtrad-hamburg,['bike'],53.60744,9.97863,4,0
Gert-Marcus-Straße / Anni-Glissmann-Weg,area,stadtrad-hamburg,['bike'],53.60342,9.97278,5,0
Südring / Stadthallenbrücke,area,stadtrad-hamburg,['bike'],53.591446,10.030327,8,0
Hofweg / Am Langenzug,area,stadtrad-hamburg,['bike'],53.578035,10.013995,3,0
Mittelweg / Sophienterrasse,area,stadtrad-hamburg,['bike'],53.576378,9.993122,9,0
U Sengelmannstraße / Djakartaweg,area,stadtrad-hamburg,['bike'],53.609163,10.022685,2,0
U Saarlandstraße / Wiesendamm,area,stadtrad-hamburg,['bike'],53.588735,10.03268,8,0
Winterlindenweg / Loki-Schmidt-Platz,area,stadtrad-hamburg,['bike'],53.60498,10.03007,1,0
Innocentiapark / Oberstraße,area,stadtrad-hamburg,['bike'],53.577248,9.98211,5,0
Weidestraße / Johannes-Prassek-Park,area,stadtrad-hamburg,['bike'],53.5808087,10.0258479,1,0
Eppendorfer Weg / Hoheluftchaussee,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.581754,9.971242,1,0
Schöne Aussicht / Karlstraße,area,stadtrad-hamburg,['bike'],53.57392,10.00808,2,0
Grandweg / Veilchenweg,area,stadtrad-hamburg,['bike'],53.589185,9.964681,1,0
Siemersplatz / Kollaustraße,area,stadtrad-hamburg,['bike'],53.600072,9.963929,15,0
U Hoheluftbrücke / Kaiser-Friedrich-Ufer,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.578054,9.976014,5,0
Alsterdorfer Markt / Evangelische Stiftung,area,stadtrad-hamburg,['bike'],53.6120909,10.0239462,6,0
Schleidenstraße / Osterbekstraße,area,stadtrad-hamburg,['bike'],53.584582,10.03369,3,0
Winterhuder Weg / Zimmerstraße,area,stadtrad-hamburg,['bike'],53.575308,10.02045,4,0
Grindelberg / Bezirksamt Eimsbüttel,area,stadtrad-hamburg,['bike'],53.575408,9.977824,3,0
U Hallerstraße / Rothenbaumchaussee,area,stadtrad-hamburg,['bike'],53.572081,9.988801,10,0
Fuhlsbüttler Straße / Hartzloh,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.601,10.041,10,1
Weidestraße / Biedermannplatz,area,stadtrad-hamburg,['bike'],53.5800038,10.033846,0,0
Weg beim Jäger / Lufthansa 2,area,stadtrad-hamburg,['bike'],53.62059,9.99709,7,0
Bartholomäusstraße / Beim Alten Schützenhof,area,stadtrad-hamburg,['bike'],53.575652,10.02957,4,0
Fuhlsbüttler Straße / Hellbrookstraße,area,stadtrad-hamburg,['bike'],53.59146,10.044508,2,0
S+U Barmbek / Wiesendamm,area,stadtrad-hamburg,['bike'],53.586958,10.042993,0,0
Bogenstraße / Grindelallee,area,stadtrad-hamburg,['bike'],53.5712,9.977694,9,0
Harvestehuder Weg / Alte Rabenstraße,area,stadtrad-hamburg,['bike'],53.5672,10.0011,8,0
Troplowitzstraße / Beiersdorf  / NXP,area,stadtrad-hamburg,['bike'],53.582793,9.957594,8,0
Goebenstraße / Eppendorfer Weg,area,stadtrad-hamburg,['bike'],53.577579,9.963063,2,0
Universität / Schlüterstraße,area,stadtrad-hamburg,['bike'],53.566972,9.986076,8,0
Eduard-Rhein-Ufer / Schwanenwik,area,stadtrad-hamburg,['bike'],53.5677,10.0162,0,0
Universität / Moorweidenstraße,area,stadtrad-hamburg,['bike'],53.563755,9.987659,0,0
Mundsburger Brücke / Papenhuder Straße,area,stadtrad-hamburg,['bike'],53.565952,10.019142,4,0
U Mundsburg / Schürbeker Straße,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5696,10.0271,7,0
Bahnhof Dammtor / Theodor-Heuss-Platz,area,stadtrad-hamburg,['bike'],53.5614,9.99043,5,0
Bahnhof Dammtor / Dag-Hammarskjöld-Platz,area,stadtrad-hamburg,['bike'],53.5602,9.98963,5,0
U Uhlandstraße / Eilenau,area,stadtrad-hamburg,['bike'],53.565,10.0267,0,0
U Hamburger Straße / Wagnerstraße,area,stadtrad-hamburg,['bike'],53.574518,10.036608,1,0
Lange Reihe / Lohmühlenpark,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5599,10.0149,3,0
Alsterschwimmhalle / Ifflandstraße,area,stadtrad-hamburg,['bike'],53.56155,10.02222,1,0
Lerchenfeld / Uferstraße,area,stadtrad-hamburg,['bike'],53.567,10.0318,0,0
Kleine Rosenstraße / Gerhart-Hauptmann-Platz,area,stadtrad-hamburg,['bike'],53.5516,9.99843,4,0
Kurze Mühren / Spitalerstraße,area,stadtrad-hamburg,['bike'],53.552611,10.00415,1,0
Hauptbahnhof / Glockengießerwall,area,stadtrad-hamburg,['bike'],53.553676,10.004553,2,0
S+U Jungfernstieg / Ballindamm,area,stadtrad-hamburg,['bike'],53.552244,9.995501,17,0
U Rathaus / Mönckebergstraße,area,stadtrad-hamburg,['bike'],53.550722,9.99714,1,0
Jakobikirchhhof / Steinstraße,area,stadtrad-hamburg,['bike'],53.5503,10.0015,2,0
Mönckebergstraße / Steintorwall,area,stadtrad-hamburg,['bike'],53.5516,10.0054,4,0
Hauptbahnhof / Heidi-Kabel-Platz,area,stadtrad-hamburg,['bike'],53.554068,10.007833,1,0
Schopenstehl / Alter Fischmarkt,area,stadtrad-hamburg,['bike'],53.548703,9.997126,4,0
Lange Reihe / Kirchenallee,area,stadtrad-hamburg,['bike'],53.5552,10.0082,5,0
Jungfernstieg / Neuer Jungfernstieg,area,stadtrad-hamburg,['bike'],53.555,9.9914,6,0
U Steinstraße / Deichtorplatz,area,stadtrad-hamburg,['bike'],53.548561,10.004368,1,0
U Meßberg / Willy-Brandt-Straße,area,stadtrad-hamburg,['bike'],53.547805,9.998774,1,0
Zentralbibliothek / Münzstraße,area,stadtrad-hamburg,['bike'],53.550332,10.008849,4,0
Gustav-Mahler-Platz / Büschstraße,area,stadtrad-hamburg,['bike'],53.556282,9.990091,8,0
Domstraße / Willy-Brandt-Straße,area,stadtrad-hamburg,['bike'],53.547486,9.994057,8,0
Oberbaumbrücke / Ericusspitze,area,stadtrad-hamburg,['bike'],53.5458,10.00302,7,0
Steindamm / Stralsunder Straße,area,stadtrad-hamburg,['bike'],53.554216,10.013306,13,0
Stadtdeich / Hammerbrooklyn,area,stadtrad-hamburg,['bike'],53.545791,10.007643,0,0
Amsinckstraße / Nordkanalbrücke,area,stadtrad-hamburg,['bike'],53.547868,10.012361,0,0
Kurt-Schumacher-Allee / Nagelsweg,area,stadtrad-hamburg,['bike'],53.5517,10.016,0,0
Stockmeyerstraße / Am Lohsepark,area,stadtrad-hamburg,['bike'],53.54398,10.00367,1,0
